Space1.keys,Space1.rt,Space2.keys,Space2.rt,key_resp.keys,key_resp.corr,Practice_loop.thisRepN,Practice_loop.thisTrialN,Practice_loop.thisN,Practice_loop.thisIndex,Practice_loop.ran,Target1,Prime,Target2,Type,CorrAns,Participant I.D.,date,expName,psychopyVersion,OS,frameRate,key_resp.rt,Space3.keys,Space3.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,typedWord,typedWord2
,,,,,,,,,,,senved,serced,SENVED,RLNW,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,z,1,0.853,0,63,63,101,1,,
,,,,,,,,,,,taidor,tordor,TAIDOR,RLNW,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,z,1,0.812,0,64,64,145,1,,
,,,,,,,,,,,midute,midoke,MIDUTE,RLNW,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,z,1,0.78,0,65,65,114,1,,
,,,,,,,,,,,canivan,canvian,CANIVAN,TLNW,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,z,1,0.679,0,66,66,84,1,,
,,,,,,,,,,,pench,pnech,PENCH,TLNW,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,z,1,0.886,0,67,67,118,1,,
,,,,,,,,,,,holmits,hofnits,HOLMITS,RLNW,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,z,1,0.539,0,68,68,108,1,,
,,,,,,,,,,,stipping,stipporg,STIPPING,RLNW,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,z,1,0.969,0,69,69,140,1,,
,,,,,,,,,,,crishing,cirshing,CRISHING,TLNW,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,z,1,0.75,0,70,70,90,1,,
,,,,,,,,,,,stoze,skaze,STOZE,RLNW,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,z,1,0.535,0,71,71,141,1,,
,,,,,,,,,,,stilks,stliks,STILKS,TLNW,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,z,1,0.647,0,72,72,135,1,,
,,,,,,,,,,,market,marekt,MARKET,TL2,m,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,m,1,1.546,0,73,73,34,1,,
,,,,,,,,,,,heaven,heaevn,HEAVEN,TL2,m,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,m,1,0.847,0,74,74,23,1,,
,,,,,,,,,,,plain,proin,PLAIN,RL1,m,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,m,1,1.061,0,75,75,46,1,,
,,,,,,,,,,,patient,ponient,PATIENT,RL1,m,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,m,1,1.146,0,76,76,41,1,,
,,,,,,,,,,,crunphy,curnphy,CRUNPHY,TLNW,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,z,1,1.125,0,77,77,92,1,,
,,,,,,,,,,,influence,influecne,INFLUENCE,TL2,m,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,m,1,1.229,0,78,78,28,1,,
,,,,,,,,,,,round,reand,ROUND,RL1,m,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,m,1,0.801,0,79,79,55,1,,
,,,,,,,,,,,thought,thourst,THOUGHT,RL2,m,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,m,1,1.212,0,80,80,71,1,,
,,,,,,,,,,,fulore,fitore,FULORE,RLNW,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,z,1,0.746,0,81,81,103,1,,
,,,,,,,,,,,wilked,winted,WILKED,RLNW,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,z,1,0.796,0,82,82,152,1,,
,,,,,,,,,,,hospital,hospiatl,HOSPITAL,TL2,m,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,m,1,0.813,0,83,83,26,1,,
,,,,,,,,,,,callage,callgae,CALLAGE,TLNW,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,z,1,0.818,0,84,84,83,1,,
,,,,,,,,,,,niffling,nitffing,NIFFLING,RLNW,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,z,1,1.017,0,85,85,116,1,,
,,,,,,,,,,,meanwhile,meanwhlie,MEANWHILE,TL2,m,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,m,1,0.777,0,86,86,36,1,,
,,,,,,,,,,,smooth,smouch,SMOOTH,RL2,m,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,m,1,0.702,0,87,87,59,1,,
,,,,,,,,,,,heafs,heils,HEAFS,RLNW,z,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,z,1,1.312,0,88,88,106,1,,
,,,,,,,,,,,legend,legned,LEGEND,TL2,m,6344,2020-08-03_10h31.56.837,ColomboPrimingTaskA,2020.1.2,MacIntel,60,,,,m,1,0.791,0,89,89,31,1,,
